Product Name,Price,Discount
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",45%
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",14%
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",32%
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",15%
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",12%
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",42%
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver","KSh 26,999",14%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",43%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",36%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",44%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",40%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",38%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",41%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",43%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",45%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",6%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",10%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",50%
Generic 7Pcs Water Set -6 Glasses & 1 Jug,"KSh 1,999",18%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",43%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",48%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",35%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",16%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",44%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",50%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",33%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",16%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",18%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",47%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",50%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",49%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",45%
XIAOMI Redmi Buds Essential - Black,"KSh 1,699",34%
